,name,sex,year,times_compete
16,Akbar Djuraev,M,2022,2
16,Akbar Djuraev,M,2021,4
16,Akbar Djuraev,M,2020,0
16,Akbar Djuraev,M,2019,2
16,Akbar Djuraev,M,2018,0
16,Akbar Djuraev,M,2017,0
16,Akbar Djuraev,M,2016,0
16,Akbar Djuraev,M,2015,0
16,Akbar Djuraev,M,2014,0
16,Akbar Djuraev,M,2013,0
17,Rustam Djangabaev,M,2023,1
17,Rustam Djangabaev,M,2022,0
17,Rustam Djangabaev,M,2021,0
17,Rustam Djangabaev,M,2020,0
17,Rustam Djangabaev,M,2019,0
17,Rustam Djangabaev,M,2018,3
17,Rustam Djangabaev,M,2017,1
17,Rustam Djangabaev,M,2016,0
17,Rustam Djangabaev,M,2015,0
17,Rustam Djangabaev,M,2014,0
17,Rustam Djangabaev,M,2013,0
18,Ruslan Nurudinov,M,2023,1
18,Ruslan Nurudinov,M,2022,0
18,Ruslan Nurudinov,M,2021,2
18,Ruslan Nurudinov,M,2020,0
18,Ruslan Nurudinov,M,2019,0
18,Ruslan Nurudinov,M,2018,2
18,Ruslan Nurudinov,M,2017,1
18,Ruslan Nurudinov,M,2016,4
18,Ruslan Nurudinov,M,2015,0
18,Ruslan Nurudinov,M,2014,1
18,Ruslan Nurudinov,M,2013,2
19,Luis Mosquera,M,2023,0
19,Luis Mosquera,M,2022,0
19,Luis Mosquera,M,2021,2
19,Luis Mosquera,M,2020,1
19,Luis Mosquera,M,2019,0
19,Luis Mosquera,M,2018,0
19,Luis Mosquera,M,2017,3
19,Luis Mosquera,M,2016,6
19,Luis Mosquera,M,2015,10
19,Luis Mosquera,M,2014,3
19,Luis Mosquera,M,2013,0
20,Brayan Rodallegas,M,2023,0
20,Brayan Rodallegas,M,2022,1
20,Brayan Rodallegas,M,2021,1
20,Brayan Rodallegas,M,2020,1
20,Brayan Rodallegas,M,2019,1
20,Brayan Rodallegas,M,2018,1
20,Brayan Rodallegas,M,2017,0
20,Brayan Rodallegas,M,2016,0
20,Brayan Rodallegas,M,2015,0
20,Brayan Rodallegas,M,2014,0
20,Brayan Rodallegas,M,2013,0
21,Rizki Juniansyah,M,2023,2
21,Rizki Juniansyah,M,2022,2
21,Rizki Juniansyah,M,2021,2
21,Rizki Juniansyah,M,2020,1
21,Rizki Juniansyah,M,2019,0
21,Rizki Juniansyah,M,2018,0
21,Rizki Juniansyah,M,2017,0
21,Rizki Juniansyah,M,2016,0
21,Rizki Juniansyah,M,2015,0
21,Rizki Juniansyah,M,2014,0
21,Rizki Juniansyah,M,2013,0
22,Rahmat Abdullah,M,2023,3
22,Rahmat Abdullah,M,2022,2
22,Rahmat Abdullah,M,2021,1
22,Rahmat Abdullah,M,2020,0
22,Rahmat Abdullah,M,2019,0
22,Rahmat Abdullah,M,2018,0
22,Rahmat Abdullah,M,2017,0
22,Rahmat Abdullah,M,2016,0
22,Rahmat Abdullah,M,2015,0
22,Rahmat Abdullah,M,2014,0
22,Rahmat Abdullah,M,2013,0
23,Marin Robu,M,2023,0
23,Marin Robu,M,2022,1
23,Marin Robu,M,2021,1
23,Marin Robu,M,2020,0
23,Marin Robu,M,2019,0
23,Marin Robu,M,2018,0
23,Marin Robu,M,2017,0
23,Marin Robu,M,2016,0
23,Marin Robu,M,2015,0
23,Marin Robu,M,2014,0
23,Marin Robu,M,2013,0
24,Artyom Antropov,M,2023,2
24,Artyom Antropov,M,2022,2
24,Artyom Antropov,M,2021,1
24,Artyom Antropov,M,2020,1
24,Artyom Antropov,M,2019,1
24,Artyom Antropov,M,2018,0
24,Artyom Antropov,M,2017,0
24,Artyom Antropov,M,2016,0
24,Artyom Antropov,M,2015,0
24,Artyom Antropov,M,2014,0
24,Artyom Antropov,M,2013,0
25,Varazdat Lalayan,M,2023,2
25,Varazdat Lalayan,M,2022,1
25,Varazdat Lalayan,M,2021,2
25,Varazdat Lalayan,M,2020,0
25,Varazdat Lalayan,M,2019,1
25,Varazdat Lalayan,M,2018,0
25,Varazdat Lalayan,M,2017,0
25,Varazdat Lalayan,M,2016,0
25,Varazdat Lalayan,M,2015,0
25,Varazdat Lalayan,M,2014,0
25,Varazdat Lalayan,M,2013,0
26,Gor Minasyan,M,2023,2
26,Gor Minasyan,M,2022,2
26,Gor Minasyan,M,2021,1
26,Gor Minasyan,M,2020,1
26,Gor Minasyan,M,2019,2
26,Gor Minasyan,M,2018,0
26,Gor Minasyan,M,2017,1
26,Gor Minasyan,M,2016,1
26,Gor Minasyan,M,2015,0
26,Gor Minasyan,M,2014,0
26,Gor Minasyan,M,2013,0
27,Simon Martirosyan,M,2023,1
27,Simon Martirosyan,M,2022,0
27,Simon Martirosyan,M,2021,2
27,Simon Martirosyan,M,2020,2
27,Simon Martirosyan,M,2019,2
27,Simon Martirosyan,M,2018,3
27,Simon Martirosyan,M,2017,8
27,Simon Martirosyan,M,2016,4
27,Simon Martirosyan,M,2015,0
27,Simon Martirosyan,M,2014,0
27,Simon Martirosyan,M,2013,0
28,Andranik Karapetyan,M,2023,2
28,Andranik Karapetyan,M,2022,0
28,Andranik Karapetyan,M,2021,0
28,Andranik Karapetyan,M,2020,0
28,Andranik Karapetyan,M,2019,0
28,Andranik Karapetyan,M,2018,0
28,Andranik Karapetyan,M,2017,0
28,Andranik Karapetyan,M,2016,1
28,Andranik Karapetyan,M,2015,0
28,Andranik Karapetyan,M,2014,0
28,Andranik Karapetyan,M,2013,0
29,Toshiki Yamamoto,M,2023,0
29,Toshiki Yamamoto,M,2022,0
29,Toshiki Yamamoto,M,2021,0
29,Toshiki Yamamoto,M,2020,4
29,Toshiki Yamamoto,M,2019,3
29,Toshiki Yamamoto,M,2018,1
29,Toshiki Yamamoto,M,2017,2
29,Toshiki Yamamoto,M,2016,0
29,Toshiki Yamamoto,M,2015,1
29,Toshiki Yamamoto,M,2014,0
29,Toshiki Yamamoto,M,2013,0
30,Bak Joo-Hyo,M,2023,1
30,Bak Joo-Hyo,M,2022,0
30,Bak Joo-Hyo,M,2021,0
30,Bak Joo-Hyo,M,2020,0
30,Bak Joo-Hyo,M,2019,0
30,Bak Joo-Hyo,M,2018,0
30,Bak Joo-Hyo,M,2017,0
30,Bak Joo-Hyo,M,2016,0
30,Bak Joo-Hyo,M,2015,0
30,Bak Joo-Hyo,M,2014,0
30,Bak Joo-Hyo,M,2013,0
31,Jang Yeonhak,M,2023,1
31,Jang Yeonhak,M,2022,0
31,Jang Yeonhak,M,2021,0
31,Jang Yeonhak,M,2020,0
31,Jang Yeonhak,M,2019,0
31,Jang Yeonhak,M,2018,0
31,Jang Yeonhak,M,2017,0
31,Jang Yeonhak,M,2016,0
31,Jang Yeonhak,M,2015,0
31,Jang Yeonhak,M,2014,0
31,Jang Yeonhak,M,2013,0
32,Lee Sang,M,2023,0
32,Lee Sang,M,2022,1
32,Lee Sang,M,2021,0
32,Lee Sang,M,2020,0
32,Lee Sang,M,2019,0
32,Lee Sang,M,2018,1
32,Lee Sang,M,2017,0
32,Lee Sang,M,2016,0
32,Lee Sang,M,2015,0
32,Lee Sang,M,2014,0
32,Lee Sang,M,2013,0
33,Adkhamjon Ergashev,M,2023,0
33,Adkhamjon Ergashev,M,2022,1
33,Adkhamjon Ergashev,M,2021,2
33,Adkhamjon Ergashev,M,2020,0
33,Adkhamjon Ergashev,M,2019,1
33,Adkhamjon Ergashev,M,2018,3
33,Adkhamjon Ergashev,M,2017,1
33,Adkhamjon Ergashev,M,2016,1
33,Adkhamjon Ergashev,M,2015,1
33,Adkhamjon Ergashev,M,2014,0
33,Adkhamjon Ergashev,M,2013,0
34,C.J. Cummings,M,2023,0
34,C.J. Cummings,M,2022,0
34,C.J. Cummings,M,2021,3
34,C.J. Cummings,M,2020,0
34,C.J. Cummings,M,2019,6
34,C.J. Cummings,M,2018,7
34,C.J. Cummings,M,2017,9
34,C.J. Cummings,M,2016,15
34,C.J. Cummings,M,2015,8
34,C.J. Cummings,M,2014,6
34,C.J. Cummings,M,2013,0
35,Behdad Salimi,M,2023,0
35,Behdad Salimi,M,2022,0
35,Behdad Salimi,M,2021,2
35,Behdad Salimi,M,2020,0
35,Behdad Salimi,M,2019,0
35,Behdad Salimi,M,2018,2
35,Behdad Salimi,M,2017,4
35,Behdad Salimi,M,2016,1
35,Behdad Salimi,M,2015,0
35,Behdad Salimi,M,2014,2
35,Behdad Salimi,M,2013,0
36,Ian Wilson,M,2023,0
36,Ian Wilson,M,2022,0
36,Ian Wilson,M,2021,1
36,Ian Wilson,M,2020,0
36,Ian Wilson,M,2019,0
36,Ian Wilson,M,2018,0
36,Ian Wilson,M,2017,3
36,Ian Wilson,M,2016,0
36,Ian Wilson,M,2015,2
36,Ian Wilson,M,2014,14
36,Ian Wilson,M,2013,0
37,Oleksiy Torokhtiy,M,2023,0
37,Oleksiy Torokhtiy,M,2022,0
37,Oleksiy Torokhtiy,M,2021,0
37,Oleksiy Torokhtiy,M,2020,0
37,Oleksiy Torokhtiy,M,2019,0
37,Oleksiy Torokhtiy,M,2018,0
37,Oleksiy Torokhtiy,M,2017,1
37,Oleksiy Torokhtiy,M,2016,12
37,Oleksiy Torokhtiy,M,2015,2
37,Oleksiy Torokhtiy,M,2014,0
37,Oleksiy Torokhtiy,M,2013,0
38,Dmitry Klokov,M,2023,0
38,Dmitry Klokov,M,2022,0
38,Dmitry Klokov,M,2021,0
38,Dmitry Klokov,M,2020,0
38,Dmitry Klokov,M,2019,0
38,Dmitry Klokov,M,2018,0
38,Dmitry Klokov,M,2017,0
38,Dmitry Klokov,M,2016,7
38,Dmitry Klokov,M,2015,5
38,Dmitry Klokov,M,2014,10
38,Dmitry Klokov,M,2013,38
39,Apti Aukhadov,M,2023,0
39,Apti Aukhadov,M,2022,0
39,Apti Aukhadov,M,2021,0
39,Apti Aukhadov,M,2020,0
39,Apti Aukhadov,M,2019,0
39,Apti Aukhadov,M,2018,0
39,Apti Aukhadov,M,2017,0
39,Apti Aukhadov,M,2016,1
39,Apti Aukhadov,M,2015,3
39,Apti Aukhadov,M,2014,3
39,Apti Aukhadov,M,2013,11
40,D'Angelo Osorio,M,2023,0
40,D'Angelo Osorio,M,2022,0
40,D'Angelo Osorio,M,2021,0
40,D'Angelo Osorio,M,2020,0
40,D'Angelo Osorio,M,2019,0
40,D'Angelo Osorio,M,2018,1
40,D'Angelo Osorio,M,2017,4
40,D'Angelo Osorio,M,2016,1
40,D'Angelo Osorio,M,2015,0
40,D'Angelo Osorio,M,2014,12
40,D'Angelo Osorio,M,2013,0
41,Caine Wilkes,M,2023,0
41,Caine Wilkes,M,2022,0
41,Caine Wilkes,M,2021,0
41,Caine Wilkes,M,2020,0
41,Caine Wilkes,M,2019,0
41,Caine Wilkes,M,2018,0
41,Caine Wilkes,M,2017,0
41,Caine Wilkes,M,2016,1
41,Caine Wilkes,M,2015,7
41,Caine Wilkes,M,2014,3
41,Caine Wilkes,M,2013,2
42,Fernando Reiss,M,2023,0
42,Fernando Reiss,M,2022,0
42,Fernando Reiss,M,2021,0
42,Fernando Reiss,M,2020,0
42,Fernando Reiss,M,2019,0
42,Fernando Reiss,M,2018,5
42,Fernando Reiss,M,2017,8
42,Fernando Reiss,M,2016,0
42,Fernando Reiss,M,2015,1
42,Fernando Reiss,M,2014,1
42,Fernando Reiss,M,2013,1
43,Harrison Maurus,M,2023,0
43,Harrison Maurus,M,2022,0
43,Harrison Maurus,M,2021,1
43,Harrison Maurus,M,2020,1
43,Harrison Maurus,M,2019,0
43,Harrison Maurus,M,2018,7
43,Harrison Maurus,M,2017,5
43,Harrison Maurus,M,2016,4
43,Harrison Maurus,M,2015,2
43,Harrison Maurus,M,2014,0
43,Harrison Maurus,M,2013,0
44,Hampton Morris,M,2023,2
44,Hampton Morris,M,2022,0
44,Hampton Morris,M,2021,1
44,Hampton Morris,M,2020,0
44,Hampton Morris,M,2019,0
44,Hampton Morris,M,2018,0
44,Hampton Morris,M,2017,0
44,Hampton Morris,M,2016,0
44,Hampton Morris,M,2015,0
44,Hampton Morris,M,2014,0
44,Hampton Morris,M,2013,0
45,Alireza Yousefi,M,2023,2
45,Alireza Yousefi,M,2022,3
45,Alireza Yousefi,M,2021,0
45,Alireza Yousefi,M,2020,0
45,Alireza Yousefi,M,2019,0
45,Alireza Yousefi,M,2018,0
45,Alireza Yousefi,M,2017,0
45,Alireza Yousefi,M,2016,0
45,Alireza Yousefi,M,2015,0
45,Alireza Yousefi,M,2014,0
45,Alireza Yousefi,M,2013,0
46,Boady Santavy,M,2023,0
46,Boady Santavy,M,2022,0
46,Boady Santavy,M,2021,2
46,Boady Santavy,M,2020,1
46,Boady Santavy,M,2019,0
46,Boady Santavy,M,2018,1
46,Boady Santavy,M,2017,0
46,Boady Santavy,M,2016,0
46,Boady Santavy,M,2015,5
46,Boady Santavy,M,2014,0
46,Boady Santavy,M,2013,0
47,Yusuf Genç,M,2023,1
47,Yusuf Genç,M,2022,1
47,Yusuf Genç,M,2021,0
47,Yusuf Genç,M,2020,0
47,Yusuf Genç,M,2019,0
47,Yusuf Genç,M,2018,0
47,Yusuf Genç,M,2017,0
47,Yusuf Genç,M,2016,0
47,Yusuf Genç,M,2015,0
47,Yusuf Genç,M,2014,0
47,Yusuf Genç,M,2013,0
48,Weeraphon Wichuma,M,2023,1
48,Weeraphon Wichuma,M,2022,0
48,Weeraphon Wichuma,M,2021,0
48,Weeraphon Wichuma,M,2020,0
48,Weeraphon Wichuma,M,2019,0
48,Weeraphon Wichuma,M,2018,0
48,Weeraphon Wichuma,M,2017,0
48,Weeraphon Wichuma,M,2016,0
48,Weeraphon Wichuma,M,2015,0
48,Weeraphon Wichuma,M,2014,0
48,Weeraphon Wichuma,M,2013,0
49,Kuo Hsingchun,F,2023,1
49,Kuo Hsingchun,F,2022,0
49,Kuo Hsingchun,F,2021,3
49,Kuo Hsingchun,F,2020,2
49,Kuo Hsingchun,F,2019,4
49,Kuo Hsingchun,F,2018,1
49,Kuo Hsingchun,F,2017,6
49,Kuo Hsingchun,F,2016,1
49,Kuo Hsingchun,F,2015,0
49,Kuo Hsingchun,F,2014,0
49,Kuo Hsingchun,F,2013,0
50,Jiang Huihua,F,2023,0
50,Jiang Huihua,F,2022,0
50,Jiang Huihua,F,2021,0
50,Jiang Huihua,F,2020,0
50,Jiang Huihua,F,2019,0
50,Jiang Huihua,F,2018,0
50,Jiang Huihua,F,2017,0
50,Jiang Huihua,F,2016,0
50,Jiang Huihua,F,2015,0
50,Jiang Huihua,F,2014,0
50,Jiang Huihua,F,2013,0
51,Luo Shifang,F,2023,0
51,Luo Shifang,F,2022,0
51,Luo Shifang,F,2021,0
51,Luo Shifang,F,2020,0
51,Luo Shifang,F,2019,0
51,Luo Shifang,F,2018,0
51,Luo Shifang,F,2017,0
51,Luo Shifang,F,2016,0
51,Luo Shifang,F,2015,0
51,Luo Shifang,F,2014,0
51,Luo Shifang,F,2013,0
52,Pei Xinyi,F,2023,1
52,Pei Xinyi,F,2022,0
52,Pei Xinyi,F,2021,0
52,Pei Xinyi,F,2020,0
52,Pei Xinyi,F,2019,0
52,Pei Xinyi,F,2018,0
52,Pei Xinyi,F,2017,0
52,Pei Xinyi,F,2016,0
52,Pei Xinyi,F,2015,0
52,Pei Xinyi,F,2014,0
52,Pei Xinyi,F,2013,0
53,Liao Guifang,F,2023,3
53,Liao Guifang,F,2022,0
53,Liao Guifang,F,2021,0
53,Liao Guifang,F,2020,0
53,Liao Guifang,F,2019,0
53,Liao Guifang,F,2018,0
53,Liao Guifang,F,2017,0
53,Liao Guifang,F,2016,0
53,Liao Guifang,F,2015,0
53,Liao Guifang,F,2014,0
53,Liao Guifang,F,2013,0
54,Loredana Toma,F,2023,4
54,Loredana Toma,F,2022,5
54,Loredana Toma,F,2021,3
54,Loredana Toma,F,2020,5
54,Loredana Toma,F,2019,5
54,Loredana Toma,F,2018,3
54,Loredana Toma,F,2017,6
54,Loredana Toma,F,2016,0
54,Loredana Toma,F,2015,0
54,Loredana Toma,F,2014,0
54,Loredana Toma,F,2013,0
55,Kate Vibert,F,2023,2
55,Kate Vibert,F,2022,4
55,Kate Vibert,F,2021,3
55,Kate Vibert,F,2020,1
55,Kate Vibert,F,2019,5
55,Kate Vibert,F,2018,5
55,Kate Vibert,F,2017,2
55,Kate Vibert,F,2016,0
55,Kate Vibert,F,2015,0
55,Kate Vibert,F,2014,0
55,Kate Vibert,F,2013,0
56,Gomiita Gomez,F,2023,1
56,Gomiita Gomez,F,2022,0
56,Gomiita Gomez,F,2021,0
56,Gomiita Gomez,F,2020,0
56,Gomiita Gomez,F,2019,0
56,Gomiita Gomez,F,2018,0
56,Gomiita Gomez,F,2017,0
56,Gomiita Gomez,F,2016,0
56,Gomiita Gomez,F,2015,0
56,Gomiita Gomez,F,2014,0
56,Gomiita Gomez,F,2013,0
57,Guilia Imperio,F,2023,1
57,Guilia Imperio,F,2022,0
57,Guilia Imperio,F,2021,2
57,Guilia Imperio,F,2020,0
57,Guilia Imperio,F,2019,0
57,Guilia Imperio,F,2018,0
57,Guilia Imperio,F,2017,0
57,Guilia Imperio,F,2016,0
57,Guilia Imperio,F,2015,0
57,Guilia Imperio,F,2014,0
57,Guilia Imperio,F,2013,0
58,Guilia Miserendino,F,2023,1
58,Guilia Miserendino,F,2022,2
58,Guilia Miserendino,F,2021,2
58,Guilia Miserendino,F,2020,1
58,Guilia Miserendino,F,2019,0
58,Guilia Miserendino,F,2018,0
58,Guilia Miserendino,F,2017,0
58,Guilia Miserendino,F,2016,0
58,Guilia Miserendino,F,2015,0
58,Guilia Miserendino,F,2014,0
58,Guilia Miserendino,F,2013,0
59,Mattie Rogers,F,2023,1
59,Mattie Rogers,F,2022,4
59,Mattie Rogers,F,2021,5
59,Mattie Rogers,F,2020,2
59,Mattie Rogers,F,2019,3
59,Mattie Rogers,F,2018,7
59,Mattie Rogers,F,2017,11
59,Mattie Rogers,F,2016,15
59,Mattie Rogers,F,2015,10
59,Mattie Rogers,F,2014,4
59,Mattie Rogers,F,2013,0
60,Yenny Alvarez,F,2023,0
60,Yenny Alvarez,F,2022,2
60,Yenny Alvarez,F,2021,2
60,Yenny Alvarez,F,2020,0
60,Yenny Alvarez,F,2019,0
60,Yenny Alvarez,F,2018,0
60,Yenny Alvarez,F,2017,0
60,Yenny Alvarez,F,2016,1
60,Yenny Alvarez,F,2015,2
60,Yenny Alvarez,F,2014,0
60,Yenny Alvarez,F,2013,0
61,Sara Ahmed,F,2023,0
61,Sara Ahmed,F,2022,2
61,Sara Ahmed,F,2021,0
61,Sara Ahmed,F,2020,0
61,Sara Ahmed,F,2019,0
61,Sara Ahmed,F,2018,0
61,Sara Ahmed,F,2017,0
61,Sara Ahmed,F,2016,0
61,Sara Ahmed,F,2015,0
61,Sara Ahmed,F,2014,0
61,Sara Ahmed,F,2013,0
62,Mirabai Chanu,F,2023,0
62,Mirabai Chanu,F,2022,0
62,Mirabai Chanu,F,2021,1
62,Mirabai Chanu,F,2020,0
62,Mirabai Chanu,F,2019,0
62,Mirabai Chanu,F,2018,1
62,Mirabai Chanu,F,2017,0
62,Mirabai Chanu,F,2016,0
62,Mirabai Chanu,F,2015,0
62,Mirabai Chanu,F,2014,0
62,Mirabai Chanu,F,2013,0
63,Kim Su-hyon,F,2023,0
63,Kim Su-hyon,F,2022,0
63,Kim Su-hyon,F,2021,2
63,Kim Su-hyon,F,2020,0
63,Kim Su-hyon,F,2019,0
63,Kim Su-hyon,F,2018,0
63,Kim Su-hyon,F,2017,0
63,Kim Su-hyon,F,2016,0
63,Kim Su-hyon,F,2015,0
63,Kim Su-hyon,F,2014,0
63,Kim Su-hyon,F,2013,0
64,Morghan King,F,2023,0
64,Morghan King,F,2022,0
64,Morghan King,F,2021,0
64,Morghan King,F,2020,0
64,Morghan King,F,2019,0
64,Morghan King,F,2018,0
64,Morghan King,F,2017,2
64,Morghan King,F,2016,6
64,Morghan King,F,2015,3
64,Morghan King,F,2014,8
64,Morghan King,F,2013,0
65,Neisi Dajomes,F,2023,1
65,Neisi Dajomes,F,2022,2
65,Neisi Dajomes,F,2021,3
65,Neisi Dajomes,F,2020,0
65,Neisi Dajomes,F,2019,0
65,Neisi Dajomes,F,2018,3
65,Neisi Dajomes,F,2017,4
65,Neisi Dajomes,F,2016,1
65,Neisi Dajomes,F,2015,0
65,Neisi Dajomes,F,2014,0
65,Neisi Dajomes,F,2013,0
66,Angie Dajomes,F,2023,3
66,Angie Dajomes,F,2022,2
66,Angie Dajomes,F,2021,0
66,Angie Dajomes,F,2020,0
66,Angie Dajomes,F,2019,1
66,Angie Dajomes,F,2018,0
66,Angie Dajomes,F,2017,0
66,Angie Dajomes,F,2016,0
66,Angie Dajomes,F,2015,0
66,Angie Dajomes,F,2014,0
66,Angie Dajomes,F,2013,0
67,Lydia Valentín,F,2023,0
67,Lydia Valentín,F,2022,0
67,Lydia Valentín,F,2021,3
67,Lydia Valentín,F,2020,0
67,Lydia Valentín,F,2019,1
67,Lydia Valentín,F,2018,3
67,Lydia Valentín,F,2017,5
67,Lydia Valentín,F,2016,2
67,Lydia Valentín,F,2015,0
67,Lydia Valentín,F,2014,0
67,Lydia Valentín,F,2013,0
68,Rebeka Koha,F,2023,0
68,Rebeka Koha,F,2022,0
68,Rebeka Koha,F,2021,0
68,Rebeka Koha,F,2020,0
68,Rebeka Koha,F,2019,2
68,Rebeka Koha,F,2018,1
